,Team,University,Points
593,lovebros,loughborough university,150.0
594,leads,university of leeds,135.0
595,blue charm collectors,university of warwick,127.0
596,ucl quails,university college london,121.0
597,liverpool arctic foxes,university of liverpool,116.0
598,banshee esports,imperial college london,112.0
599,manchester minotaurs,manchester metropolitan university,108.0
600,oxford brookes vipers,oxford brookes university,104.0
601,simple as,university of lincoln,100.0
602,swansea storm,swansea university,96.0
603,trent warfare,nottingham trent university,92.0
604,durham defenders,durham university,88.0
605,portsmouth paladins,university of portsmouth,84.0
606,neocitadel,newcastle university,80.0
607,leicester red foxes,de montfort university,76.0
608,ucl pigeons,university college london,72.0
609,uwe seastags,university of the west of england,68.0
610,coventry fire,coventry university,64.0
611,reeeeeeeeds,university of leeds,60.0
612,warwick 1st team,university of warwick,56.0
613,uea bluejays,university of east anglia,52.0
614,brighton privateers,university of brighton,47.0
615,stg,university of southampton,45.0
616,belfast berserkers,queens university belfast,43.0
617,exeterrific,university of exeter,41.0
618,slugs,university of sheffield,39.0
619,leicester kkomrades,university of leicester,37.0
620,birmingham bruhmmies,university of birmingham,35.0
621,luff said,loughborough university,33.0
622,kentucky fried chicken,university of kent,31.0
623,uea crocs and socks,university of east anglia,29.0
624,watt wyverns,heriot watt university,28.0
625,nott gonna win,university of nottingham,28.0
626,costa del swan,swansea university,27.0
627,swansea slayers,swansea university,26.0
628,derby peaches,university of derby,26.0
629,brighton buccaneers,university of brighton,25.0
630,the project,university of abertay dundee,24.0
631,trent thunder kixstars,nottingham trent university,24.0
632,kcl lions,kings college london,23.0
633,edinburgh eclipse r6,university of edinburgh,22.0
634,watt wyverns,heriot watt university,22.0
635,thats enuffbruh,loughborough university,21.0
636,the minute men,glasgow caledonian university,20.0
637,warwick wraiths,university of warwick,20.0
638,aston six,aston university,19.0
639,bristol bakas,university of bristol,19.0
640,brunel 1,brunel university,18.0
641,uofg grizzlies,university of glasgow,18.0
642,blue dragon swansea,swansea university,17.0
643,aber sigma siegers,aberystwyth university,17.0
644,qub valkyries,queens university belfast,16.0
645,lightning mcqueens,queens university belfast,16.0
646,reading binmen,university of reading,15.0
647,surrey stags 21,university of surrey,15.0
648,wyverns of west london,university of west london,14.0
649,bruhmmies 2 electric boogaloo,university of birmingham,13.0
650,chad chandar,university of cambridge,13.0
651,valhalla,northumbria university,12.0
652,exeterrible - exeter 2,university of exeter,12.0
653,mmu mammoths,manchester metropolitan university,11.0
654,cov pheonix ice,coventry university,11.0
655,throwchester,university of manchester,10.0
656,bangor r6 team 1,bangor university,10.0
657,queens guards,queen mary university of london,9.0
658,salford lions r6,university of salford,9.0
659,sledge hill,edge hill university,8.0
660,newb castle,newcastle university,8.0
661,shield team six,teesside university,7.0
662,kent win,university of kent,7.0
663,leicester team b,university of leicester,6.0
664,bath team 6,university of bath,6.0
665,hertfordshire blue,university of hertfordshire,5.0
666,brunel brutes,brunel university,5.0
667,sunderland esports,university of sunderland,4.0
668,ruskin ravens gold,anglia ruskin university,4.0
669,portsmouth pandas,university of portsmouth,3.0
670,queens guardians,queens university belfast,3.0
671,stinky thatcher deniers,university of chichester,2.0
672,lboro team 1,loughborough university,2.0
673,live laugh love 2,cardiff university,1.0
674,soton jagerbombers,university of southampton,1.0
675,reading bedtime stories,university of reading,0.0
676,leed ons,university of leeds,0.0
677,chi challengers,university of chichester,0.0
678,soton team 3,university of southampton,0.0
679,ruskin ravens purple,anglia ruskin university,0.0
680,burchy esports,imperial college london,0.0
681,nott for fun,university of nottingham,0.0
682,keele a,keele university,145.0
683,nottingham trent thunder,nottingham trent university,132.5
684,uob nightingales,university of birmingham,126.0
685,salford lions,university of salford,119.5
686,durham defenders,durham university,115.0
687,staffordshire samba,staffordshire university,109.0
688,no roeetations,university of liverpool,109.0
689,uea kingfishers,university of east anglia,101.0
690,york pun name,university of york,101.0
691,uea bluejays,university of east anglia,95.0
692,uea bluejays,university of east anglia,91.0
693,nott in the ass,university of nottingham,85.0
694,loughborough lions,loughborough university,85.0
695,derbados,university of derby,75.0
696,yer course,liverpool john moores university,75.0
697,beckett bears,leeds beckett university,75.0
698,uob bushwackers,university of birmingham,65.0
699,lincoln a,university of lincoln,65.0
700,shakeele o neal,keele university,59.0
701,lanker a,lancaster university,55.0
702,couldnt care leic,university of leicester,50.0
703,bcu blue,birmingham city university,50.0
704,loughboomers,loughborough university,44.0
705,leeds gryphons,university of leeds,44.0
706,newcastle ninjas,newcastle university,44.0
707,durham durhamers,durham university,44.0
708,watt wyverns,heriot watt university,36.0
709,saltford v2,university of salford,36.0
710,better york pun name,university of york,36.0
711,durham demons,durham university,36.0
712,i dont know,nottingham trent university,29.0
713,qub monarchs,queens university belfast,29.0
