plymouth leviathans b,university of plymouth,9
sussex sharks,university of sussex,8
derby raptors educational meme club,university of derby,8
average nine enjoyers,university of york,7
gaggle exe,university of exeter,7
chi noble,university of chichester,6
kings row college,kings college london,6
uol sussy chunguses,university of leeds,6
uwe seastags white,university of the west of england,6
silver geese,university of nottingham,5
sheffield wyverns,university of sheffield,5
team valkyrie,university of abertay dundee,5
rhul academy team,royal holloway university of london,5
durham doge,durham university,4
shadows,staffordshire university,4
kent,university of kent,4
dundee rearguard,university of dundee,4
keeles row,keele university,3
monkey mondays,university of northampton,3
ucl team 2,university college london,3
durham university team 4,durham university,3
cardiffed,cardiff university,2
bee,university of manchester,2
polar owls,university of liverpool,2
trent thunder pink,nottingham trent university,1
uea nightjars,university of east anglia,1
bedford bandits,university of bedfordshire,1
heavens rejects,university of warwick,1
the disappointkents,university of kent,0
bsu legion,bath spa university,0
leeds conservatoire overwatch,leeds conservatoire,0
oxford omnics,oxford university,0
westminster dragons,university of westminster,0
warwick competitive team b,university of warwick,0
bcuwu,birmingham city university,0
teesside turnips,teesside university,0
kentastrophe,university of kent,0
mercy mains unite,university of essex,0
beckett bears,leeds beckett university,0
greasy geese,university of york,0
swanton bomb,university of lincoln,0
glasgow switches,university of glasgow,0
hog turret torture,university of southampton,0
herts lightning,university of hertfordshire,0
lovebros,loughborough university,150
leads,university of leeds,135
blue charm collectors,university of warwick,127
ucl quails,university college london,121
liverpool arctic foxes,university of liverpool,116
banshee esports,imperial college london,112
manchester minotaurs,manchester metropolitan university,108
oxford brookes vipers,oxford brookes university,104
simple as,university of lincoln,100
swansea storm,swansea university,96
trent warfare,nottingham trent university,92
durham defenders,durham university,88
portsmouth paladins,university of portsmouth,84
neocitadel,newcastle university,80
leicester red foxes,de montfort university,76
ucl pigeons,university college london,72
uwe seastags,university of the west of england,68
coventry fire,coventry university,64
reeeeeeeeds,university of leeds,60
warwick 1st team,university of warwick,56
uea bluejays,university of east anglia,52
brighton privateers,university of brighton,47
stg,university of southampton,45
belfast berserkers,queens university belfast,43
exeterrific,university of exeter,41
slugs,university of sheffield,39
leicester kkomrades,university of leicester,37
birmingham bruhmmies,university of birmingham,35
luff said,loughborough university,33
kentucky fried chicken,university of kent,31
uea crocs and socks,university of east anglia,29
watt wyverns,heriot watt university,28
nott gonna win,university of nottingham,28
costa del swan,swansea university,27
swansea slayers,swansea university,26
derby peaches,university of derby,26
brighton buccaneers,university of brighton,25
the project,university of abertay dundee,24
trent thunder kixstars,nottingham trent university,24
kcl lions,kings college london,23
edinburgh eclipse r6,university of edinburgh,22
watt wyverns,heriot watt university,22
thats enuffbruh,loughborough university,21
the minute men,glasgow caledonian university,20
warwick wraiths,university of warwick,20
aston six,aston university,19
bristol bakas,university of bristol,19
brunel 1,brunel university,18
uofg grizzlies,university of glasgow,18
blue dragon swansea,swansea university,17
aber sigma siegers,aberystwyth university,17
qub valkyries,queens university belfast,16
lightning mcqueens,queens university belfast,16
reading binmen,university of reading,15
surrey stags 21,university of surrey,15
wyverns of west london,university of west london,14
bruhmmies 2 electric boogaloo,university of birmingham,13
chad chandar,university of cambridge,13
valhalla,northumbria university,12
exeterrible - exeter 2,university of exeter,12
mmu mammoths,manchester metropolitan university,11
cov pheonix ice,coventry university,11
throwchester,university of manchester,10
bangor r6 team 1,bangor university,10
queens guards,queen mary university of london,9
salford lions r6,university of salford,9
sledge hill,edge hill university,8
newb castle,newcastle university,8
shield team six,teesside university,7
kent win,university of kent,7
leicester team b,university of leicester,6
bath team 6,university of bath,6
hertfordshire blue,university of hertfordshire,5
brunel brutes,brunel university,5
sunderland esports,university of sunderland,4
ruskin ravens gold,anglia ruskin university,4
portsmouth pandas,university of portsmouth,3
queens guardians,queens university belfast,3
stinky thatcher deniers,university of chichester,2
lboro team 1,loughborough university,2
live laugh love 2,cardiff university,1
soton jagerbombers,university of southampton,1
reading bedtime stories,university of reading,0
leed ons,university of leeds,0
chi challengers,university of chichester,0
soton team 3,university of southampton,0
ruskin ravens purple,anglia ruskin university,0
burchy esports,imperial college london,0
nott for fun,university of nottingham,0
keele a,keele university,145
nottingham trent thunder,nottingham trent university,132.5
uob nightingales,university of birmingham,126
